budget,noise,method,success_rate,mean_regret,posterior_contact_entropy,posterior_full_entropy,contact_probes,decor_probes
4,0.0,visual_only,0.083,0.917,3.5849625007212516,67.5849625007223,0.0,0.0
4,0.0,random,0.3045,0.6955,2.207367727372265,61.49336772737181,2.8215,1.1785
4,0.0,dense_entropy,0.0805,0.9195,3.5849625007212516,51.584962500721474,0.0,4.0
4,0.0,dense_contact_only,1.0,0.0,0.0,64.0,4.0,0.0
4,0.0,critical_cell_entropy,0.4115,0.5885,2.022,66.022,4.0,0.0
4,0.0,contact_equivalence,1.0,0.0,0.0,64.0,4.0,0.0
4,0.02,visual_only,0.095,0.905,3.5849625007212516,67.5849625007223,0.0,0.0
4,0.02,random,0.3255,0.6745,2.4085149192320787,61.754514919231994,2.8365,1.1635
4,0.02,dense_entropy,0.097,0.903,3.5849625007212516,51.584962500721474,0.0,4.0
4,0.02,dense_contact_only,0.932,0.068,0.34732892552263117,64.34732892552182,4.0,0.0
4,0.02,critical_cell_entropy,0.3865,0.6135,2.3289593557642885,66.32895935576553,4.0,0.0
4,0.02,contact_equivalence,0.9265,0.0735,0.35366465703320854,64.3536646570324,4.0,0.0
4,0.05,visual_only,0.087,0.913,3.5849625007212516,67.5849625007223,0.0,0.0
4,0.05,random,0.284,0.716,2.6160647358627775,62.05806473586335,2.8605,1.1395
4,0.05,dense_entropy,0.075,0.925,3.5849625007212516,51.584962500721474,0.0,4.0
4,0.05,dense_contact_only,0.835,0.165,0.7744635294138301,64.77446352941443,4.0,0.0
4,0.05,critical_cell_entropy,0.3605,0.6395,2.5779228146430033,66.57792281464478,4.0,0.0
4,0.05,contact_equivalence,0.8275,0.1725,0.79818089897759,64.79818089897817,4.0,0.0
4,0.1,visual_only,0.074,0.926,3.5849625007212516,67.5849625007223,0.0,0.0
4,0.1,random,0.2465,0.7535,2.878792489120131,62.25679248911959,2.8445,1.1555
4,0.1,dense_entropy,0.0795,0.9205,3.5849625007212516,51.584962500721474,0.0,4.0
4,0.1,dense_contact_only,0.6785,0.3215,1.4873522850711076,65.48735228507152,4.0,0.0
4,0.1,critical_cell_entropy,0.2905,0.7095,2.8783287390912,66.87832873908965,4.0,0.0
4,0.1,contact_equivalence,0.681,0.319,1.4781150857863339,65.47811508578683,4.0,0.0
4,0.2,visual_only,0.087,0.913,3.5849625007212516,67.5849625007223,0.0,0.0
4,0.2,random,0.2185,0.7815,3.216455978362895,62.60645597836325,2.8475,1.1525
4,0.2,dense_entropy,0.087,0.913,3.5849625007212516,51.584962500721474,0.0,4.0
4,0.2,dense_contact_only,0.413,0.587,2.503814572500784,66.50381457250113,4.0,0.0
4,0.2,critical_cell_entropy,0.2475,0.7525,3.2254731570455104,67.22547315704497,4.0,0.0
4,0.2,contact_equivalence,0.433,0.567,2.489589562395541,66.48958956239626,4.0,0.0
