suite,seed,method,budget,trials,lanes,decor_bits,library,noise_mode,noise_rate,prior_mode,success_rate,mean_regret,posterior_contact_entropy,posterior_full_entropy,contact_probes,decor_probes
prior_stress,1,expected_regret,2,24,16,64,mixed,none,0.0,uniform,0.25,0.75,2.3344972572928695,66.33449725729288,2.0,0.0
prior_stress,1,expected_regret,4,24,16,64,mixed,none,0.0,uniform,0.75,0.25,0.771240625180289,64.77124062518028,4.0,0.0
prior_stress,1,expected_regret,6,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,6.0,0.0
prior_stress,1,expected_regret,8,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,8.0,0.0
prior_stress,1,sampled_equivalence,2,24,16,64,mixed,none,0.0,uniform,0.20833333333333334,0.7916666666666666,2.042762753098844,66.04276275309884,2.0,0.0
prior_stress,1,sampled_equivalence,4,24,16,64,mixed,none,0.0,uniform,0.9583333333333334,0.041666666666666664,0.125,64.125,4.0,0.0
prior_stress,1,sampled_equivalence,6,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,6.0,0.0
prior_stress,1,sampled_equivalence,8,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,8.0,0.0
prior_stress,2,dense_entropy,2,24,16,64,mixed,none,0.0,uniform,0.125,0.875,4.0,60.0,0.0,2.0
prior_stress,2,dense_entropy,4,24,16,64,mixed,none,0.0,uniform,0.125,0.875,4.0,52.0,0.0,4.0
prior_stress,2,dense_entropy,6,24,16,64,mixed,none,0.0,uniform,0.08333333333333333,0.9166666666666666,4.0,44.0,0.0,6.0
prior_stress,2,dense_entropy,8,24,16,64,mixed,none,0.0,uniform,0.16666666666666666,0.8333333333333334,4.0,36.0,0.0,8.0
prior_stress,2,dense_contact_only,2,24,16,64,mixed,none,0.0,uniform,0.3333333333333333,0.6666666666666666,2.0,66.0,2.0,0.0
prior_stress,2,dense_contact_only,4,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,4.0,0.0
prior_stress,2,dense_contact_only,6,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,6.0,0.0
prior_stress,2,dense_contact_only,8,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,8.0,0.0
prior_stress,2,critical_cell_entropy,2,24,16,64,mixed,none,0.0,uniform,0.25,0.75,3.014155979962272,67.01415597996225,2.0,0.0
prior_stress,2,critical_cell_entropy,4,24,16,64,mixed,none,0.0,uniform,0.375,0.625,2.3899750004807703,66.38997500048076,4.0,0.0
prior_stress,2,critical_cell_entropy,6,24,16,64,mixed,none,0.0,uniform,0.4166666666666667,0.5833333333333334,2.0762050593046015,66.07620505930463,6.0,0.0
prior_stress,2,critical_cell_entropy,8,24,16,64,mixed,none,0.0,uniform,0.5416666666666666,0.4583333333333333,1.625,65.625,8.0,0.0
prior_stress,2,contact_equivalence,2,24,16,64,mixed,none,0.0,uniform,0.25,0.75,2.0,66.0,2.0,0.0
prior_stress,2,contact_equivalence,4,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,4.0,0.0
prior_stress,2,contact_equivalence,6,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,6.0,0.0
prior_stress,2,contact_equivalence,8,24,16,64,mixed,none,0.0,uniform,1.0,0.0,0.0,64.0,8.0,0.0
prior_stress,2,expected_regret,2,24,16,64,mixed,none,0.0,uniform,0.125,0.875,2.02091105680672,66.02091105680672,2.0,0.0
