suite,seed,method,budget,trials,lanes,decor_bits,library,noise_mode,noise_rate,prior_mode,lane_setting,success_rate,mean_regret,posterior_contact_entropy,posterior_full_entropy,contact_probes,decor_probes
lane_scaling,0,dense_entropy,2,24,8,64,mixed,none,0.0,uniform,8,0.16666666666666666,0.8333333333333334,3.0,59.0,0.0,2.0
lane_scaling,0,dense_entropy,4,24,8,64,mixed,none,0.0,uniform,8,0.125,0.875,3.0,51.0,0.0,4.0
lane_scaling,0,dense_entropy,6,24,8,64,mixed,none,0.0,uniform,8,0.041666666666666664,0.9583333333333334,3.0,43.0,0.0,6.0
lane_scaling,0,dense_entropy,8,24,8,64,mixed,none,0.0,uniform,8,0.20833333333333334,0.7916666666666666,3.0,35.0,0.0,8.0
lane_scaling,0,dense_entropy,10,24,8,64,mixed,none,0.0,uniform,8,0.125,0.875,3.0,27.0,0.0,10.0
lane_scaling,0,dense_contact_only,2,24,8,64,mixed,none,0.0,uniform,8,0.6666666666666666,0.3333333333333333,1.0,65.0,2.0,0.0
lane_scaling,0,dense_contact_only,4,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,4.0,0.0
lane_scaling,0,dense_contact_only,6,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,6.0,0.0
lane_scaling,0,dense_contact_only,8,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,8.0,0.0
lane_scaling,0,dense_contact_only,10,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,10.0,0.0
lane_scaling,0,critical_cell_entropy,2,24,8,64,mixed,none,0.0,uniform,8,0.20833333333333334,0.7916666666666666,2.154135417267629,66.15413541726763,2.0,0.0
lane_scaling,0,critical_cell_entropy,4,24,8,64,mixed,none,0.0,uniform,8,0.6666666666666666,0.3333333333333333,1.0,65.0,4.0,0.0
lane_scaling,0,critical_cell_entropy,6,24,8,64,mixed,none,0.0,uniform,8,0.9583333333333334,0.041666666666666664,0.20833333333333334,64.20833333333333,6.0,0.0
lane_scaling,0,critical_cell_entropy,8,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,8.0,0.0
lane_scaling,0,critical_cell_entropy,10,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,8.0,0.0
lane_scaling,0,contact_equivalence,2,24,8,64,mixed,none,0.0,uniform,8,0.4166666666666667,0.5833333333333334,1.0,65.0,2.0,0.0
lane_scaling,0,contact_equivalence,4,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,4.0,0.0
lane_scaling,0,contact_equivalence,6,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,6.0,0.0
lane_scaling,0,contact_equivalence,8,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,8.0,0.0
lane_scaling,0,contact_equivalence,10,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,10.0,0.0
lane_scaling,0,expected_regret,2,24,8,64,mixed,none,0.0,uniform,8,0.5,0.5,1.0,65.0,2.0,0.0
lane_scaling,0,expected_regret,4,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,4.0,0.0
lane_scaling,0,expected_regret,6,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,6.0,0.0
lane_scaling,0,expected_regret,8,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,8.0,0.0
lane_scaling,0,expected_regret,10,24,8,64,mixed,none,0.0,uniform,8,1.0,0.0,0.0,64.0,10.0,0.0
